state,x,y
Alabama,139,-90
Alaska,-204,-170
Arizona,-203,-40
Arkansas,57,-53
California,-297,13
Colorado,-112,20
Connecticut,297,98
Delaware,275,42
Florida,220,-145
Georgia,182,-80
Hawaii,-317,-143
Idaho,-216,122
Illinois,95,25
Indiana,133,39
Iowa,38,65
Kansas,-17,5
Kentucky,149,-8
Louisiana,59,-114
Maine,319,164
Maryland,288,27
Massachusetts,312,112
Michigan,148,101
Minnesota,23,135
Mississippi,94,-78
Missouri,49,6
Montana,-141,150
Nebraska,-45,66
Nevada,-257,56
New Hampshire,302,127
New Jersey,282,60
New Mexico,-123,-60
New York,236,106
North Carolina,239,-22
North Dakota,-44,158
Ohio,176,52
Oklahoma,-8,-41
Oregon,-278,138
Pennsylvania,238,72
Rhode Island,318,85
South Carolina,218,-51
South Dakota,-44,109
Tennessee,141,-37
Texas,-38,-106
Utah,-189,34
Vermont,282,154
Virginia,234,6
Washington,-257,193
West Virginia,200,20
Wisconsin,83,113
Wyoming,-134,90
